Type,Direction,Value,BaseNode,BaseMember
JOINT,FZ,-12,139,
JOINT,FZ,-12,639,
JOINT,FZ,-12,1139,
JOINT,FZ,-12,1639,
JOINT,FZ,-12,139,
JOINT,FZ,-12,639,
JOINT,FZ,-12,1139,
JOINT,FZ,-12,1639,
JOINT,FZ,-12,139,
JOINT,FZ,-12,639,
JOINT,FZ,-12,1139,
JOINT,FZ,-12,1639,
JOINT,FZ,-2.75,73,
JOINT,FZ,-2.75,95,
JOINT,FZ,-2.75,96,
JOINT,FZ,-2.75,117,
JOINT,FZ,-2.75,542,
JOINT,FZ,-2.75,564,
JOINT,FZ,-2.75,565,
JOINT,FZ,-2.75,586,
JOINT,FZ,-2.75,1073,
JOINT,FZ,-2.75,1094,
JOINT,FZ,-2.75,1095,
JOINT,FZ,-2.75,1117,
JOINT,FZ,-2.75,1542,
JOINT,FZ,-2.75,1563,
JOINT,FZ,-2.75,1564,
JOINT,FZ,-2.75,1586,
JOINT,FZ,-9.08,82,
JOINT,FZ,-9.08,83,
JOINT,FZ,-9.08,107,
JOINT,FZ,-9.08,108,
JOINT,FZ,-9.08,551,
JOINT,FZ,-9.08,552,
JOINT,FZ,-9.08,576,
JOINT,FZ,-9.08,577,
JOINT,FZ,-9.08,1082,
JOINT,FZ,-9.08,1083,
JOINT,FZ,-9.08,1107,
JOINT,FZ,-9.08,1108,
JOINT,FZ,-9.08,1551,
JOINT,FZ,-9.08,1552,
JOINT,FZ,-9.08,1576,
JOINT,FZ,-9.08,1577,
JOINT,FZ,-15,313,
JOINT,FZ,-15,1313,
JOINT,FZ,-50,313,
JOINT,FZ,-50,1313,
MEMBER,UNI GZ,-0.1493,,622
MEMBER,UNI GZ,-0.1493,,623
MEMBER,UNI GZ,-0.1493,,624
MEMBER,UNI GZ,-0.1493,,625
MEMBER,UNI GZ,-0.1493,,626
MEMBER,UNI GZ,-0.1493,,627
MEMBER,UNI GZ,-0.1493,,628
MEMBER,UNI GZ,-0.1493,,629
MEMBER,UNI GZ,-0.1493,,630
MEMBER,UNI GZ,-0.1493,,631
MEMBER,UNI GZ,-0.1493,,632
MEMBER,UNI GZ,-0.1493,,633
MEMBER,UNI GZ,-0.1493,,634
MEMBER,UNI GZ,-0.1493,,635
MEMBER,UNI GZ,-0.1493,,636
MEMBER,UNI GZ,-0.1493,,637
MEMBER,UNI GZ,-0.1493,,638
MEMBER,UNI GZ,-0.1493,,639
MEMBER,UNI GZ,-0.1493,,640
