member_id,start_node,end_node,group,type
105,1,5,_EXTERNAL-W1,ST HE400A
108,2,7,_EXTERNAL-W1,ST HE400A
123,1001,1005,,ST HE400A
126,1002,1007,,ST HE400A
143,3,10,_EXTERNAL-LL _EXTERNAL-W1,ST HE400A
146,4,12,_EXTERNAL-LL _EXTERNAL-W1,ST HE400A
161,1003,1010,_EXTERNAL-LR,ST HE400A
164,1004,1012,_EXTERNAL-LR,ST HE400A
165,5,6,_EXTERNAL-W1,ST 323.9X6.3CHS
166,6,7,_EXTERNAL-W1,ST 323.9X6.3CHS
177,1005,1006,,ST 323.9X6.3CHS
178,1006,1007,,ST 323.9X6.3CHS
179,5,8,_EXTERNAL-LL _EXTERNAL-W1,ST 323.9X6.3CHS
180,7,9,_EXTERNAL-LL _EXTERNAL-W1,ST 323.9X6.3CHS
185,1005,1008,_EXTERNAL-LR,ST 323.9X6.3CHS
186,1007,1009,_EXTERNAL-LR,ST 323.9X6.3CHS
187,8,10,_EXTERNAL-LL _EXTERNAL-W1,ST 323.9X6.3CHS
188,9,12,_EXTERNAL-LL _EXTERNAL-W1,ST 323.9X6.3CHS
193,1008,1010,_EXTERNAL-LR,ST 323.9X6.3CHS
194,1009,1012,_EXTERNAL-LR,ST 323.9X6.3CHS
195,10,11,_EXTERNAL-LL _EXTERNAL-W1,ST 323.9X6.3CHS
196,11,12,_EXTERNAL-LL _EXTERNAL-W1,ST 323.9X6.3CHS
207,1010,1011,_EXTERNAL-LR,ST 323.9X6.3CHS
208,1011,1012,_EXTERNAL-LR,ST 323.9X6.3CHS
209,5,13,_EXTERNAL-W1,ST HE400A
212,7,15,_EXTERNAL-W1,ST HE400A
227,1005,1013,,ST HE400A
230,1007,1015,,ST HE400A
231,5,16,_EXTERNAL-LL _EXTERNAL-W1,ST 244.5X6.3CHS
232,7,17,_EXTERNAL-LL _EXTERNAL-W1,ST 244.5X6.3CHS
237,1005,1016,_EXTERNAL-LR,ST 244.5X6.3CHS
238,1007,1017,_EXTERNAL-LR,ST 244.5X6.3CHS
239,10,16,_EXTERNAL-LL _EXTERNAL-W1,ST 244.5X6.3CHS
240,12,17,_EXTERNAL-LL _EXTERNAL-W1,ST 244.5X6.3CHS
245,1010,1016,_EXTERNAL-LR,ST 244.5X6.3CHS
246,1012,1017,_EXTERNAL-LR,ST 244.5X6.3CHS
247,10,18,_EXTERNAL-LL _EXTERNAL-W1,ST HE400A
250,12,20,_EXTERNAL-LL _EXTERNAL-W1,ST HE400A
265,1010,1018,_EXTERNAL-LR,ST HE400A
268,1012,1020,_EXTERNAL-LR,ST HE400A
269,13,14,_EXTERNAL-W1,ST 273X6.3CHS
270,14,15,_EXTERNAL-W1,ST 273X6.3CHS
281,1013,1014,,ST 273X6.3CHS
282,1014,1015,,ST 273X6.3CHS
283,13,16,_EXTERNAL-LL _EXTERNAL-W1,ST 273X6.3CHS
284,15,17,_EXTERNAL-LL _EXTERNAL-W1,ST 273X6.3CHS
289,1013,1016,_EXTERNAL-LR,ST 273X6.3CHS
290,1015,1017,_EXTERNAL-LR,ST 273X6.3CHS
291,16,18,_EXTERNAL-LL _EXTERNAL-W1,ST 273X6.3CHS
292,17,20,_EXTERNAL-LL _EXTERNAL-W1,ST 273X6.3CHS
297,1016,1018,_EXTERNAL-LR,ST 273X6.3CHS
298,1017,1020,_EXTERNAL-LR,ST 273X6.3CHS
299,18,19,_EXTERNAL-LL _EXTERNAL-W1,ST 273X6.3CHS
300,19,20,_EXTERNAL-LL _EXTERNAL-W1,ST 273X6.3CHS
311,1018,1019,_EXTERNAL-LR,ST 273X6.3CHS
312,1019,1020,_EXTERNAL-LR,ST 273X6.3CHS
313,13,21,_EXTERNAL-W1,ST HE320A
314,15,22,_EXTERNAL-W1,ST HE320A
319,1013,1021,,ST HE320A
320,1015,1022,,ST HE320A
321,18,23,_EXTERNAL-LL _EXTERNAL-W1,ST HE320A
322,20,24,_EXTERNAL-LL _EXTERNAL-W1,ST HE320A
327,1018,1023,_EXTERNAL-LR,ST HE320A
328,1020,1024,_EXTERNAL-LR,ST HE320A
329,13,58,_EXTERNAL-W1,ST 273X6.3CHS
330,15,58,_EXTERNAL-W1,ST 273X6.3CHS
341,1013,1057,,ST 273X6.3CHS
342,1015,1057,,ST 273X6.3CHS
343,13,93,_EXTERNAL-LL _EXTERNAL-W1,ST 244.5X6.3CHS
344,15,98,_EXTERNAL-LL _EXTERNAL-W1,ST 244.5X6.3CHS
349,1013,1092,_EXTERNAL-LR,ST 244.5X6.3CHS
350,1015,1097,_EXTERNAL-LR,ST 244.5X6.3CHS
351,18,93,_EXTERNAL-LL _EXTERNAL-W1,ST 244.5X6.3CHS
352,20,98,_EXTERNAL-LL _EXTERNAL-W1,ST 244.5X6.3CHS
357,1018,1092,_EXTERNAL-LR,ST 244.5X6.3CHS
358,1020,1097,_EXTERNAL-LR,ST 244.5X6.3CHS
359,18,128,_EXTERNAL-LL _EXTERNAL-W1,ST 273X6.3CHS
360,20,128,_EXTERNAL-LL _EXTERNAL-W1,ST 273X6.3CHS
371,1018,1127,_EXTERNAL-LR,ST 273X6.3CHS
372,1020,1127,_EXTERNAL-LR,ST 273X6.3CHS
373,21,26,_EXTERNAL-W1,ST IPE180
374,22,39,_EXTERNAL-W1,ST IPE180
379,1021,1025,,ST IPE180
380,1022,1038,,ST IPE180
381,21,46,,ST IPE180
382,21,47,_EXTERNAL-W1,ST HE320A
383,22,69,_EXTERNAL-W1,ST HE320A
388,1021,1046,,ST HE320A
389,1022,1068,,ST HE320A
390,1022,1069,,ST IPE180
391,23,121,_EXTERNAL-LL,ST IPE180
392,23,122,_EXTERNAL-LL _EXTERNAL-W1,ST HE320A
393,24,134,_EXTERNAL-LL _EXTERNAL-W1,ST HE320A
398,1023,1121,_EXTERNAL-LR,ST HE320A
399,1024,1133,_EXTERNAL-LR,ST HE320A
400,1024,1134,_EXTERNAL-LR,ST IPE180
401,25,26,,ST IPE360
402,26,27,_EXTERNAL-W1,ST IPE360
403,27,28,_EXTERNAL-W1,ST IPE360
404,28,29,_EXTERNAL-W1,ST IPE360
405,29,30,_EXTERNAL-W1,ST IPE360
406,30,31,_EXTERNAL-W1,ST IPE360
407,31,32,_EXTERNAL-W1,ST IPE360
408,32,33,_EXTERNAL-W1,ST IPE360
409,33,34,_EXTERNAL-W1,ST IPE360
410,34,35,_EXTERNAL-W1,ST IPE360
411,35,36,_EXTERNAL-W1,ST IPE360
412,36,37,_EXTERNAL-W1,ST IPE360
413,37,38,_EXTERNAL-W1,ST IPE360
414,38,39,_EXTERNAL-W1,ST IPE360
480,1025,1026,,ST IPE360
481,1026,1027,,ST IPE360
482,1027,1028,,ST IPE360
483,1028,1029,,ST IPE360
484,1029,1030,,ST IPE360
485,1030,1031,,ST IPE360
486,1031,1032,,ST IPE360
487,1032,1033,,ST IPE360
488,1033,1034,,ST IPE360
489,1034,1035,,ST IPE360
490,1036,1035,,ST IPE360
491,1037,1036,,ST IPE360
492,1038,1037,,ST IPE360
493,1039,1038,,ST IPE360
494,25,40,,ST IPE220
495,26,41,,ST IPE360
496,29,42,_EXTERNAL-W1,ST IPE180
497,32,43,_EXTERNAL-W1,ST IPE180
498,33,44,_EXTERNAL-W1,ST IPE180
499,36,45,_EXTERNAL-W1,ST IPE180
520,1028,1040,,ST IPE180
521,1031,1041,,ST IPE180
522,1032,1042,,ST IPE180
523,1035,1043,,ST IPE180
524,1038,1044,,ST IPE360
525,1039,1045,,ST IPE220
526,25,47,,ST IPE200
527,27,48,_EXTERNAL-W1,ST IPE180
528,28,50,_EXTERNAL-W1,ST IPE180
529,30,53,_EXTERNAL-W1,ST IPE180
530,31,54,_EXTERNAL-W1,ST IPE180
531,34,62,_EXTERNAL-W1,ST IPE180
532,35,63,_EXTERNAL-W1,ST IPE180
533,37,66,_EXTERNAL-W1,ST IPE180
534,38,68,_EXTERNAL-W1,ST IPE180
535,39,69,_EXTERNAL-W1,ST IPE360
580,1025,1046,,ST IPE360
581,1026,1047,,ST IPE180
582,1027,1049,,ST IPE180
583,1029,1052,,ST IPE180
584,1030,1053,,ST IPE180
585,1033,1061,,ST IPE180
586,1034,1062,,ST IPE180
587,1036,1065,,ST IPE180
588,1037,1067,,ST IPE180
589,1039,1068,,ST IPE200
590,40,46,,ST IPE220
591,41,47,,ST IPE360
592,42,51,_EXTERNAL-W1,ST IPE200
593,43,57,_EXTERNAL-W1,ST IPE200
594,44,59,_EXTERNAL-W1,ST IPE200
595,45,65,_EXTERNAL-W1,ST IPE200
616,1040,1050,,ST IPE200
617,1041,1056,,ST IPE200
618,1042,1058,,ST IPE200
619,1043,1064,,ST IPE200
620,1044,1068,,ST IPE360
621,1045,1069,,ST IPE220
622,46,47,,ST IPE180
623,47,48,_EXTERNAL-W1,ST HE280A
624,48,49,_EXTERNAL-W1,ST HE280A
625,49,50,_EXTERNAL-W1,ST HE280A
626,50,51,_EXTERNAL-W1,ST HE280A
627,51,52,_EXTERNAL-W1,ST HE280A
628,52,53,_EXTERNAL-W1,ST HE280A
629,53,54,_EXTERNAL-W1,ST HE280A
630,54,55,_EXTERNAL-W1,ST HE280A
631,55,56,_EXTERNAL-W1,ST HE280A
632,56,57,_EXTERNAL-W1,ST HE280A
633,57,58,_EXTERNAL-W1,ST HE280A
634,58,59,_EXTERNAL-W1,ST HE280A
635,59,60,_EXTERNAL-W1,ST HE280A
636,60,61,_EXTERNAL-W1,ST HE280A
637,61,62,_EXTERNAL-W1,ST HE280A
638,62,63,_EXTERNAL-W1,ST HE280A
639,63,64,_EXTERNAL-W1,ST HE280A
640,64,65,_EXTERNAL-W1,ST HE280A
641,65,66,_EXTERNAL-W1,ST HE280A
642,66,67,_EXTERNAL-W1,ST HE280A
643,67,68,_EXTERNAL-W1,ST HE280A
644,68,69,_EXTERNAL-W1,ST HE280A
755,1046,1047,,ST HE280A
756,1047,1048,,ST HE280A
757,1048,1049,,ST HE280A
758,1049,1050,,ST HE280A
759,1050,1051,,ST HE280A
760,1051,1052,,ST HE280A
761,1052,1053,,ST HE280A
762,1053,1054,,ST HE280A
763,1054,1055,,ST HE280A
764,1055,1056,,ST HE280A
765,1056,1057,,ST HE280A
766,1057,1058,,ST HE280A
767,1058,1059,,ST HE280A
768,1059,1060,,ST HE280A
769,1060,1061,,ST HE280A
770,1061,1062,,ST HE280A
771,1062,1063,,ST HE280A
772,1063,1064,,ST HE280A
773,1064,1065,,ST HE280A
774,1065,1066,,ST HE280A
775,1066,1067,,ST HE280A
776,1067,1068,,ST HE280A
777,1069,1068,,ST IPE180
778,70,55,_EXTERNAL-LL _EXTERNAL-W1,ST IPE240
779,58,71,_EXTERNAL-LL _EXTERNAL-W1,ST IPE180
780,61,72,_EXTERNAL-LL _EXTERNAL-W1,ST IPE240
796,1070,1054,_EXTERNAL-LR,ST IPE240
797,1057,1071,_EXTERNAL-LR,ST IPE180
798,1060,1072,_EXTERNAL-LR,ST IPE240
799,47,74,_EXTERNAL-LL,ST HE220A
800,74,49,_EXTERNAL-LL _EXTERNAL-W1,ST IPE160
801,67,75,_EXTERNAL-LL _EXTERNAL-W1,ST IPE160
